event_id,event_name,event_type,event_category,venue_name,area,city,country,latitude,longitude,venue_capacity,venue_transport_score,venue_nearby_bars,venue_parking_spaces,avg_taxi_wait_pre_event_mins,venue_historical_perf_index,event_date,day_of_week,day_of_week_num,month,season,start_hour,start_minute,end_hour,duration_hours,is_weekend,is_public_holiday,is_detty_december,expected_attendance,attendance_fill_rate,pre_book_ride_rate,base_ride_seeking_rate,weather_condition,weather_ride_uplift,weather_att_impact,social_buzz_score,nearby_competing_events,driver_supply_index,fuel_availability_index,road_congestion_index,security_index,power_reliability_index,public_transport_disruption,tube_strike_active,actual_ride_requests,demand_score,demand_level,drivers_needed,optimal_radius_meters,peak_booking_window_mins,driver_acted_on_prediction,driver_feedback_score,is_late_night_end,is_evening_end,weekend_late_night,transport_crowd_pressure,rain_late_night,infrastructure_stress,uk_disruption_score,buzz_capacity_ratio,competition_pressure,driver_supply_gap,log_attendance,end_time_period
EVT09208,Contemporary Art Exhibition,Exhibition,Arts,Resorts World Arena,NEC,Birmingham,UK,52.452159,-1.725327,16000,8,8,6000,6,1.054,2024-10-17,Thursday,3,10,Autumn,13,30,20,7.1,0,0,0,6375,0.3984,0.132,0.228,Light Rain,1.22,0.94,6.4,2,0.467,1.0,1.0,1.0,1.0,0,0,1312,40.31,Medium,346,197,27,1,0.5,0,1,0,0.7968,0.0,0.0,0.0,0.5992,0.26,0.533,8.7603,Evening
EVT01926,Afrorave,Club Night,Nightlife,National Theatre Lagos,Iganmu,Lagos,Nigeria,6.463774,3.377308,5000,6,3,600,15,1.068,2023-02-13,Monday,0,2,Harmattan,0,15,5,5.0,0,0,0,2948,0.5896,0.037,0.545,Partly Cloudy,1.02,1.0,5.4,1,0.609,0.6,0.85,1.0,1.0,0,0,1260,39.28,Medium,347,344,31,0,,1,0,0,2.3584,1.02,0.2125,0.0,0.5674,0.12,0.391,7.9892,Late Night
EVT11077,Contemporary Art Exhibition,Exhibition,Arts,Resorts World Arena,NEC,Birmingham,UK,52.452795,-1.726272,16000,8,8,6000,6,1.054,2023-03-07,Tuesday,1,3,Spring,13,30,20,7.5,0,0,0,4161,0.2601,0.056,0.251,Snow,1.65,0.7,35.7,4,0.646,1.0,1.0,1.0,1.0,0,0,1295,40.0,Medium,302,136,25,0,,0,1,0,0.5202,0.0,0.0,0.0,3.3426,0.6,0.354,8.3338,Evening
EVT07103,Lagos Fashion Week,Fashion Show,Lifestyle,Oval Space,Bethnal Green,London,UK,51.53661,-0.053737,1500,8,20,30,6,1.003,2024-08-12,Monday,0,8,Summer,20,15,23,3.7,0,0,0,848,0.5653,0.368,0.628,Clear,1.0,1.0,65.7,0,0.793,1.0,0.88,1.0,1.0,0,0,703,24.62,Low,186,72,10,0,,1,0,0,1.1306,1.0,0.0,0.0,7.9024,0.0,0.207,6.7441,Night
EVT08960,Championship Boxing,Boxing/MMA Event,Sports,AO Arena Manchester,City Centre,Manchester,UK,53.488484,-2.244172,21000,9,40,2000,4,1.086,2024-12-25,Wednesday,2,12,Winter,20,30,0,4.8,0,1,1,17899,0.8523,0.105,0.452,Clear,1.0,1.0,89.4,0,0.74,1.0,0.88,1.0,1.0,0,0,19587,91.45,Very High,3385,202,14,1,0.996,1,0,0,0.8523,1.0,0.0,0.0,8.1627,0.0,0.26,9.7926,Late Night
EVT09099,Headies Awards,Awards Ceremony,Entertainment,Birmingham Symphony Hall,City Centre,Birmingham,UK,52.479131,-1.902013,2262,9,22,200,5,1.035,2024-12-08,Sunday,6,12,Winter,19,15,23,4.1,1,0,1,2099,0.9279,0.383,0.562,Light Rain,1.22,0.94,78.6,3,0.226,1.0,0.75,1.0,1.0,0,0,634,22.33,Low,177,86,17,0,,1,0,1,0.9279,1.22,0.0,0.0,9.0092,0.42,0.774,7.6497,Night
EVT07216,Les Misérables,Theatre Show,Arts,Villa Park,Aston,Birmingham,UK,52.509256,-1.88399,42830,7,20,3000,7,1.052,2023-07-03,Monday,0,7,Summer,20,45,22,2.2,0,0,0,24841,0.58,0.295,0.49,Heavy Rain,1.42,0.85,13.9,3,0.073,1.0,0.88,1.0,1.0,0,0,9089,82.28,Very High,2521,184,20,1,0.665,1,0,0,1.74,1.42,0.0,0.0,1.1916,0.42,0.927,10.1203,Night
EVT12777,Afrorave,Club Night,Nightlife,NEC Birmingham,NEC,Birmingham,UK,52.452588,-1.726976,18000,8,5,7000,6,0.972,2023-07-22,Saturday,5,7,Summer,0,30,4,4.4,1,0,0,15607,0.8671,0.046,0.68,Light Rain,1.22,0.94,70.6,3,0.273,1.0,0.88,1.0,1.0,0,1,15556,89.04,Very High,4399,294,20,0,,1,0,1,1.7342,1.22,0.0,0.6,6.5381,0.42,0.727,9.6555,Late Night
EVT05943,Nite of a Thousand Laughs,Comedy Show,Entertainment,Abuja Velodrome,Wuse,Abuja,Nigeria,9.069261,7.490003,5000,6,4,800,14,1.085,2024-10-04,Friday,4,10,Dry,19,30,21,2.8,0,0,0,3994,0.7988,0.192,0.333,Clear,1.0,1.0,23.9,0,0.389,0.8,1.0,1.0,0.9,0,0,1170,37.27,Medium,224,272,30,0,,0,1,0,3.1952,0.0,0.08,0.0,2.5112,0.0,0.611,8.2928,Evening
EVT14416,Michael Dapaah Live,Comedy Show,Entertainment,Villa Park,Aston,Birmingham,UK,52.509451,-1.885205,42830,7,20,3000,7,1.052,2023-12-08,Friday,4,12,Winter,21,30,23,2.0,0,0,1,29124,0.68,0.209,0.367,Light Rain,1.22,0.94,12.9,1,0.423,1.0,0.6,1.0,1.0,0,0,12316,86.33,Very High,3862,230,12,0,,1,0,0,2.04,1.22,0.0,0.0,1.1059,0.12,0.577,10.2794,Night
EVT13666,Street Food Night,Food Festival,Lifestyle,Manchester Central,City Centre,Manchester,UK,53.474989,-2.241898,10000,9,38,500,4,0.784,2023-03-24,Friday,4,3,Spring,13,30,19,6.7,0,0,0,7031,0.7031,0.122,0.265,Light Rain,1.22,0.94,6.6,1,0.427,1.0,0.75,1.0,1.0,0,0,1488,43.52,Medium,285,199,33,0,,0,1,0,0.7031,0.0,0.0,0.0,0.6464,0.12,0.573,8.8582,Evening
EVT00563,Christmas Carol Service,Religious Service,Religion,Wembley Stadium,Wembley,London,UK,51.555865,-0.279154,90000,9,25,10000,3,1.161,2024-02-05,Monday,0,2,Winter,10,30,12,2.2,0,0,0,60287,0.6699,0.074,0.19,Light Rain,1.22,0.94,37.6,0,0.159,1.0,0.75,1.0,1.0,1,0,13484,87.55,Very High,2276,217,23,0,,0,0,0,0.6699,0.0,0.0,0.4,3.0304,0.0,0.841,11.0069,Midday
EVT05872,Wireless Festival,Music Festival,Music,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.485666,-1.890825,15800,8,18,1000,5,0.87,2024-12-27,Friday,4,12,Winter,16,15,22,6.3,0,0,1,14605,0.9244,0.17,0.454,Light Rain,1.22,0.94,45.8,1,0.174,1.0,0.88,1.0,1.0,0,0,7641,79.43,Very High,1525,264,12,0,,1,0,0,1.8488,1.22,0.0,0.0,4.2933,0.12,0.826,9.5892,Night
EVT00555,Contemporary Art Exhibition,Exhibition,Arts,Etihad Stadium,East Manchester,Manchester,UK,53.48369,-2.200385,53400,8,10,5000,5,0.831,2024-02-24,Saturday,5,2,Winter,14,45,18,4.8,1,0,0,35942,0.6731,0.148,0.226,Overcast,1.04,0.98,6.6,1,0.494,1.0,0.6,1.0,1.0,0,0,6385,75.87,Very High,1888,166,31,0,,0,1,0,1.3462,0.0,0.0,0.0,0.5553,0.12,0.506,10.4897,Evening
EVT03553,Tems Live,Concert,Music,Lekki Phase 1 Event Park,Lekki,Lagos,Nigeria,6.469815,3.485328,3000,6,14,600,18,0.943,2023-08-29,Tuesday,1,8,Rainy,22,0,0,2.9,0,0,0,2112,0.704,0.161,0.313,Light Rain,1.3,0.88,24.4,0,0.284,0.55,0.85,1.0,1.0,0,0,434,14.63,Low,82,265,17,1,0.564,1,0,0,2.816,1.3,0.2325,0.0,2.7091,0.0,0.716,7.6559,Late Night
EVT05151,London Marathon,Marathon/Run,Sports,ExCeL London,Royal Docks,London,UK,51.507106,0.034958,15000,8,6,2000,7,0.96,2023-07-14,Friday,4,7,Summer,8,15,11,3.6,0,0,0,9698,0.6465,0.16,0.285,Overcast,1.04,0.98,52.3,0,0.346,1.0,1.0,1.0,1.0,0,0,1703,46.97,Medium,294,194,26,1,0.49,0,0,0,1.293,0.0,0.0,0.0,4.9266,0.0,0.654,9.1798,Midday
EVT13261,Lagos Comedy Festival,Comedy Show,Entertainment,International Conference Centre Abuja,CBD,Abuja,Nigeria,9.058437,7.495798,3000,7,5,500,10,0.944,2023-02-17,Friday,4,2,Harmattan,21,15,23,2.2,0,0,0,2262,0.754,0.197,0.314,Clear,1.0,1.0,24.1,0,0.455,0.9,0.88,1.0,1.0,0,0,1108,35.71,Medium,286,208,10,0,,1,0,0,2.262,1.0,0.082,0.0,2.6758,0.0,0.545,7.7244,Night
EVT10274,Half Marathon,Marathon/Run,Sports,Balmoral Event Centre,Victoria Island,Lagos,Nigeria,6.43484,3.430411,2000,7,9,300,12,1.005,2023-03-18,Saturday,5,3,Dry,7,45,12,5.7,1,0,0,1343,0.6715,0.133,0.368,Partly Cloudy,1.02,1.0,21.8,0,0.633,1.0,0.88,0.7,0.75,0,0,430,14.5,Low,73,320,14,0,,0,0,0,2.0145,0.0,0.117,0.0,2.5345,0.0,0.367,7.2034,Midday
EVT01756,Presidential Townhall,Political Rally,Politics,ExCeL London,Royal Docks,London,UK,51.507408,0.035231,15000,8,6,2000,7,0.96,2023-04-25,Tuesday,1,4,Spring,13,45,17,4.0,0,0,0,7849,0.5233,0.044,0.195,Light Rain,1.22,0.94,34.5,2,0.55,1.0,1.0,1.0,1.0,0,0,1208,38.1,Medium,244,235,18,0,,0,0,0,1.0466,0.0,0.0,0.0,3.2499,0.26,0.45,8.9683,Afternoon
EVT04917,Wicked,Theatre Show,Arts,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.486753,-1.889822,15800,8,18,1000,5,0.87,2024-10-17,Thursday,3,10,Autumn,19,45,21,2.9,0,0,0,7861,0.4975,0.344,0.422,Heavy Rain,1.42,0.85,3.0,1,0.28,1.0,0.88,1.0,1.0,0,0,3640,64.54,High,747,216,15,1,0.572,0,1,0,0.995,0.0,0.0,0.0,0.2812,0.12,0.72,8.9698,Evening
EVT03871,MMA Clash,Boxing/MMA Event,Sports,Alexandra Palace,Wood Green,London,UK,51.594745,-0.109376,10500,8,8,1200,6,1.116,2024-07-13,Saturday,5,7,Summer,18,15,22,4.4,1,0,0,7689,0.7323,0.139,0.381,Heavy Rain,1.42,0.85,56.6,1,0.522,1.0,0.88,1.0,1.0,1,0,1561,44.71,Medium,319,205,18,0,,1,0,1,1.4646,1.42,0.0,0.4,5.517,0.12,0.478,8.9477,Night
EVT06739,Wedding Gala Night,Wedding,Private,National Theatre Lagos,Iganmu,Lagos,Nigeria,6.463596,3.377388,5000,6,3,600,15,1.068,2024-01-17,Wednesday,2,1,Harmattan,20,0,0,4.3,0,0,0,3886,0.7772,0.392,0.641,Partly Cloudy,1.02,1.0,13.7,2,0.083,0.9,1.0,0.7,0.75,0,0,2194,53.12,High,667,286,11,1,,1,0,0,3.1088,1.02,0.115,0.0,1.4395,0.26,0.917,8.2654,Late Night
EVT06713,Friday Night Sessions,Club Night,Nightlife,AO Arena Manchester,City Centre,Manchester,UK,53.488093,-2.244722,21000,9,40,2000,4,1.086,2023-07-14,Friday,4,7,Summer,23,30,5,6.8,0,0,0,13016,0.6198,0.06,0.726,Light Rain,1.22,0.94,23.8,2,0.79,1.0,0.88,1.0,1.0,0,0,12845,86.85,Very High,2810,266,23,0,,1,0,0,0.6198,1.22,0.0,0.0,2.1731,0.26,0.21,9.474,Late Night
EVT05258,Detty December Fest,Music Festival,Music,National Theatre Lagos,Iganmu,Lagos,Nigeria,6.463744,3.377051,5000,6,3,600,15,1.068,2023-11-14,Tuesday,1,11,Dry,13,0,0,11.8,0,0,0,4803,0.9606,0.195,0.513,Clear,1.0,1.0,45.8,1,0.373,1.0,0.85,1.0,0.9,0,0,2412,55.23,High,492,364,13,0,,1,0,0,3.8424,1.0,0.0525,0.0,4.8122,0.12,0.627,8.4772,Late Night
EVT01223,Crossover Night,New Year Party,Nightlife,O2 Arena,Greenwich,London,UK,51.503177,0.003384,20000,9,18,3000,4,1.084,2023-09-01,Friday,4,9,Autumn,21,30,3,6.4,0,0,0,18434,0.9217,0.213,0.765,Clear,1.0,1.0,,2,0.284,1.0,1.0,1.0,1.0,0,0,12877,86.89,Very High,4137,242,20,1,0.745,1,0,0,0.9217,1.0,0.0,0.0,2.5863,0.26,0.716,9.822,Late Night
EVT06637,Wedding Gala Night,Wedding,Private,SSE Arena Wembley,Wembley,London,UK,51.550522,-0.28036,12500,9,15,1500,4,0.935,2023-01-17,Tuesday,1,1,Winter,19,15,0,5.4,0,0,0,11942,0.9554,0.317,0.635,Overcast,1.04,0.98,9.1,1,0.503,1.0,1.0,1.0,1.0,0,0,7914,80.06,Very High,1676,203,8,1,,1,0,0,0.9554,1.04,0.0,0.0,0.8722,0.12,0.497,9.3879,Late Night
EVT06499,Notting Hill Carnival,Cultural Festival,Culture,Manchester Central,City Centre,Manchester,UK,53.475633,-2.242484,10000,9,38,500,4,0.784,2023-12-31,Sunday,6,12,Winter,16,15,22,6.7,1,0,1,6833,0.6833,0.094,0.182,Light Rain,1.22,0.94,41.9,1,0.703,1.0,0.88,1.0,1.0,0,0,1874,49.38,Medium,332,205,12,1,0.762,1,0,1,0.6833,1.22,0.0,0.0,4.1036,0.12,0.297,8.8297,Night
EVT07350,House & Afrobeats Night,Club Night,Nightlife,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.486524,-1.889871,15800,8,18,1000,5,0.87,2023-10-11,Wednesday,2,10,Autumn,22,0,2,4.4,0,0,0,9212,0.583,0.042,0.628,Overcast,1.04,0.98,24.2,3,0.641,1.0,1.0,1.0,1.0,1,0,5633,73.35,High,1253,289,14,0,,1,0,0,1.166,1.04,0.0,0.4,2.2685,0.42,0.359,9.1284,Late Night
EVT10325,Nite of a Thousand Laughs,Comedy Show,Entertainment,NEC Birmingham,NEC,Birmingham,UK,52.45234,-1.726015,18000,8,5,7000,6,0.972,2023-01-30,Monday,0,1,Winter,20,0,22,2.1,0,0,0,15341,0.8523,0.165,0.389,Overcast,1.04,0.98,7.7,0,0.364,1.0,1.0,1.0,1.0,0,0,5585,73.19,High,1479,160,8,1,0.864,1,0,0,1.7046,1.04,0.0,0.0,0.7131,0.0,0.636,9.6383,Night
EVT02941,Contemporary Art Exhibition,Exhibition,Arts,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.436236,3.421422,3000,7,8,500,10,1.038,2023-11-15,Wednesday,2,11,Dry,12,30,19,7.7,0,0,0,1728,0.576,0.135,0.305,Clear,1.0,1.0,42.6,0,0.569,1.0,0.55,1.0,1.0,0,0,514,17.84,Low,87,299,44,1,0.614,0,1,0,1.728,0.0,0.1575,0.0,4.7298,0.0,0.431,7.4553,Evening
EVT10501,MMA Clash,Boxing/MMA Event,Sports,Balmoral Event Centre,Victoria Island,Lagos,Nigeria,6.435662,3.430524,2000,7,9,300,12,1.005,2024-02-08,Thursday,3,2,Harmattan,18,0,22,4.6,0,0,0,1538,0.769,0.063,0.482,Partly Cloudy,1.02,1.0,42.1,1,0.323,0.4,1.0,1.0,0.9,0,0,329,9.77,Low,87,248,13,1,0.558,1,0,0,2.307,1.02,0.24,0.0,4.8946,0.12,0.677,7.3389,Night
EVT07396,Campaign Rally,Political Rally,Politics,Tottenham Hotspur Stadium,Tottenham,London,UK,51.60476,-0.066234,62850,8,30,3000,5,1.017,2023-01-01,Sunday,6,1,Winter,14,0,17,3.0,1,1,0,40648,0.6467,0.048,0.207,Drizzle,1.14,0.96,43.2,1,0.723,1.0,0.6,1.0,1.0,0,0,10301,84.12,Very High,2442,165,15,1,0.744,0,0,0,1.2934,0.0,0.0,0.0,3.5855,0.12,0.277,10.6127,Afternoon
EVT11109,An Evening with Burna Boy,Concert,Music,O2 Arena,Greenwich,London,UK,51.503383,0.003243,20000,9,18,3000,4,1.084,2024-01-04,Thursday,3,1,Winter,22,0,0,2.8,0,0,0,10813,0.5406,0.055,0.383,Heavy Rain,1.42,0.85,62.6,1,0.407,1.0,0.75,1.0,1.0,1,0,6903,77.59,Very High,1982,179,18,0,,1,0,0,0.5406,1.42,0.0,0.4,5.7413,0.12,0.593,9.2886,Late Night
EVT07280,Davido World Tour,Concert,Music,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.4347,3.420786,3000,7,8,500,10,1.038,2024-06-03,Monday,0,6,Rainy,17,45,20,3.3,0,0,0,2303,0.7677,0.08,0.355,Clear,1.0,1.0,54.3,0,0.595,0.85,0.55,1.0,0.9,0,0,751,26.14,Medium,171,218,28,0,,0,1,0,2.3031,0.0,0.2175,0.0,6.0288,0.0,0.405,7.7424,Evening
EVT06893,Contemporary Art Exhibition,Exhibition,Arts,Warehouse Project,Trafford,Manchester,UK,53.464367,-2.238242,10000,8,12,400,7,1.192,2023-03-21,Tuesday,1,3,Spring,12,45,18,6.6,0,0,0,3989,0.3989,0.091,0.261,Overcast,1.04,0.98,43.1,0,0.409,1.0,0.75,1.0,1.0,0,0,1022,33.79,Medium,333,110,49,1,0.527,0,1,0,0.7978,0.0,0.0,0.0,4.2212,0.0,0.591,8.2915,Evening
EVT04650,Lagos City Marathon,Marathon/Run,Sports,Abuja Velodrome,Wuse,Abuja,Nigeria,9.06968,7.489338,5000,6,4,800,14,1.085,2024-01-07,Sunday,6,1,Harmattan,11,45,14,3.1,1,0,0,3162,0.6324,0.184,0.238,Partly Cloudy,1.02,1.0,2.3,0,0.637,0.75,1.0,1.0,0.9,0,0,691,24.22,Low,130,316,31,0,,0,0,0,2.5296,0.0,0.1,0.0,0.2417,0.0,0.363,8.0593,Afternoon
EVT02187,Afro Nation,Music Festival,Music,Alexandra Palace,Wood Green,London,UK,51.594051,-0.109472,10500,8,8,1200,6,1.116,2024-05-06,Monday,0,5,Spring,13,30,22,9.5,0,1,0,9240,0.88,0.082,0.406,Fog,1.18,0.88,40.1,1,0.143,1.0,0.75,1.0,1.0,0,0,4732,69.94,High,978,280,13,0,,1,0,0,1.76,1.18,0.0,0.0,3.9087,0.12,0.857,9.1314,Night
EVT03845,Contemporary Art Exhibition,Exhibition,Arts,ExCeL London,Royal Docks,London,UK,51.507541,0.034947,15000,8,6,2000,7,0.96,2024-04-16,Tuesday,1,4,Spring,15,0,20,5.2,0,0,0,7899,0.5266,0.093,0.319,Light Rain,1.22,0.94,13.7,0,0.507,1.0,1.0,1.0,1.0,0,0,2432,55.47,High,666,227,25,1,0.537,0,1,0,1.0532,0.0,0.0,0.0,1.2905,0.0,0.493,8.9746,Evening
EVT00082,Eyo Festival,Cultural Festival,Culture,International Conference Centre Abuja,CBD,Abuja,Nigeria,9.058696,7.494996,3000,7,5,500,10,0.944,2024-11-11,Monday,0,11,Dry,16,30,21,5.5,0,0,0,1991,0.6637,0.05,0.199,Clear,1.0,1.0,,3,0.261,0.9,1.0,1.0,1.0,0,0,211,4.58,Low,49,206,15,1,0.781,0,1,0,1.9911,0.0,0.04,0.0,6.1288,0.42,0.739,7.5969,Evening
EVT06202,Afrorave,Club Night,Nightlife,Birmingham Symphony Hall,City Centre,Birmingham,UK,52.4792,-1.902286,2262,9,22,200,5,1.035,2024-04-17,Wednesday,2,4,Spring,20,45,2,6.5,0,0,0,1833,0.8103,0.041,0.684,Heavy Rain,1.42,0.85,68.3,1,0.065,1.0,0.88,1.0,1.0,0,0,1712,47.15,Medium,456,100,9,0,,1,0,0,0.8103,1.42,0.0,0.0,7.8286,0.12,0.935,7.5143,Late Night
EVT03677,Lagos Food & Drink Fest,Food Festival,Lifestyle,MUSON Centre,Onikan,Lagos,Nigeria,6.455456,3.398624,1200,7,5,200,8,1.102,2024-04-13,Saturday,5,4,Dry,17,30,21,4.7,1,0,0,656,0.5467,0.135,0.357,Light Rain,1.3,0.88,6.8,0,0.105,1.0,0.75,1.0,1.0,0,0,329,9.77,Low,56,328,28,0,,0,1,0,1.6401,0.0,0.0875,0.0,0.8404,0.0,0.895,6.4877,Evening
EVT07134,Revival Night,Religious Service,Religion,Lekki Phase 1 Event Park,Lekki,Lagos,Nigeria,6.469353,3.484622,3000,6,14,600,18,0.943,2024-05-30,Thursday,3,5,Rainy,8,0,11,3.4,0,0,0,2955,0.985,0.052,0.232,Partly Cloudy,1.02,1.0,25.2,1,0.334,1.0,0.85,1.0,1.0,0,0,474,16.19,Low,108,176,26,0,,0,0,0,3.94,0.0,0.0525,0.0,2.7979,0.12,0.666,7.9916,Midday
EVT14715,Startup Africa,Conference,Business,Alexandra Palace,Wood Green,London,UK,51.593544,-0.10841,10500,8,8,1200,6,1.116,2023-07-01,Saturday,5,7,Summer,13,45,19,6.8,1,0,0,7946,0.7568,0.367,0.523,Light Rain,1.22,0.94,7.2,0,0.18,1.0,0.88,1.0,1.0,0,0,4721,69.88,High,977,189,46,1,0.692,0,1,0,1.5136,0.0,0.0,0.0,0.7018,0.0,0.82,8.9805,Evening
EVT05921,Private Wedding Reception,Wedding,Private,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.486897,-1.889728,15800,8,18,1000,5,0.87,2023-06-19,Monday,0,6,Summer,18,15,23,5.7,0,0,0,14235,0.9009,0.368,0.642,Overcast,1.04,0.98,11.6,0,0.078,1.0,0.88,1.0,1.0,0,0,9413,82.88,Very High,2891,214,14,0,,1,0,0,1.8018,1.04,0.0,0.0,1.0874,0.0,0.922,9.5635,Night
EVT09513,Campaign Rally,Political Rally,Politics,Oriental Hotel Lagos,Victoria Island,Lagos,Nigeria,6.427744,3.419044,1500,7,7,250,9,0.954,2023-10-22,Sunday,6,10,Dry,18,15,20,2.2,1,0,0,961,0.6407,0.04,0.249,Partly Cloudy,1.02,1.0,54.2,1,0.127,0.9,1.0,0.85,0.75,0,0,254,6.41,Low,72,261,21,0,,0,1,0,1.9221,0.0,0.0775,0.0,6.5192,0.12,0.873,6.869,Evening
EVT07910,End of Year Party,New Year Party,Nightlife,Villa Park,Aston,Birmingham,UK,52.50851,-1.885126,42830,7,20,3000,7,1.052,2023-12-08,Friday,4,12,Winter,22,45,3,5.6,0,0,1,39839,0.9302,0.147,0.657,Drizzle,1.14,0.96,86.3,1,0.435,1.0,1.0,1.0,1.0,0,1,73574,99.65,Very High,17871,331,10,0,,1,0,0,2.7906,1.14,0.0,0.6,7.3982,0.12,0.565,10.5926,Late Night
EVT08856,Friday Night Sessions,Club Night,Nightlife,SSE Arena Wembley,Wembley,London,UK,51.551456,-0.279677,12500,9,15,1500,4,0.935,2023-08-04,Friday,4,8,Summer,0,15,4,4.0,0,0,0,9966,0.7973,0.052,0.586,Drizzle,1.14,0.96,1.4,1,0.58,1.0,0.88,1.0,1.0,0,0,1898,49.68,Medium,439,302,13,1,,1,0,0,0.7973,1.14,0.0,0.0,0.1342,0.12,0.42,9.207,Late Night
EVT03254,End of Year Party,New Year Party,Nightlife,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.435568,3.421188,3000,7,8,500,10,1.038,2024-02-17,Saturday,5,2,Harmattan,18,30,1,7.0,1,0,0,2927,0.9757,0.186,0.687,Clear,1.0,1.0,67.8,3,0.255,0.6,0.88,0.85,0.75,0,0,914,30.88,Medium,164,296,11,0,,1,0,1,2.9271,1.0,0.2395,0.0,7.5277,0.42,0.745,7.9821,Late Night
EVT08743,Eyo Festival,Cultural Festival,Culture,MUSON Centre,Onikan,Lagos,Nigeria,6.45439,3.399259,1200,7,5,200,8,1.102,2023-11-07,Tuesday,1,11,Dry,15,0,21,6.4,0,0,0,745,0.6208,0.106,0.254,Partly Cloudy,1.02,1.0,23.7,0,0.19,1.0,0.85,1.0,0.9,0,0,213,4.66,Low,37,254,33,1,0.549,0,1,0,1.8624,0.0,0.0525,0.0,2.9292,0.0,0.81,6.6147,Evening
EVT02456,Africa Fashion International,Fashion Show,Lifestyle,GTBank Garage Ikeja,Ikeja,Lagos,Nigeria,6.548495,3.348664,4000,6,8,800,15,1.007,2024-01-05,Friday,4,1,Harmattan,20,15,22,2.2,0,0,0,2412,0.603,0.398,0.67,Light Rain,1.3,0.88,2.1,2,0.451,0.9,0.4,1.0,1.0,0,0,1163,37.01,Medium,202,303,8,1,0.479,1,0,0,2.412,1.3,0.25,0.0,0.2259,0.26,0.549,7.7886,Night
EVT09028,Style Week,Fashion Show,Lifestyle,Warehouse Project,Trafford,Manchester,UK,53.464504,-2.23728,10000,8,12,400,7,1.192,2024-04-09,Tuesday,1,4,Spring,19,0,22,3.4,0,0,0,8780,0.878,0.305,0.64,Overcast,1.04,0.98,9.1,0,0.345,1.0,1.0,1.0,1.0,0,0,5616,73.28,High,1436,220,18,1,0.639,1,0,0,1.756,1.04,0.0,0.0,0.8912,0.0,0.655,9.0803,Night
EVT00459,Street Food Night,Food Festival,Lifestyle,Villa Park,Aston,Birmingham,UK,52.508738,-1.884241,42830,7,20,3000,7,1.052,2023-05-27,Saturday,5,5,Spring,17,0,21,4.8,1,0,0,27679,0.6463,0.119,0.233,Overcast,1.04,0.98,19.3,2,0.611,1.0,0.75,1.0,1.0,0,0,7688,79.61,Very High,1551,217,19,1,0.772,0,1,0,1.9389,0.0,0.0,0.0,1.6545,0.26,0.389,10.2285,Evening
EVT01181,NYE Gala Night,New Year Party,Nightlife,Oriental Hotel Lagos,Victoria Island,Lagos,Nigeria,6.427922,3.419235,1500,7,7,250,9,0.954,2023-10-05,Thursday,3,10,Dry,22,15,3,5.1,0,0,0,1487,0.9913,0.135,0.627,Clear,1.0,1.0,,0,0.597,0.9,0.55,0.7,1.0,0,0,761,26.44,Medium,230,459,14,1,0.472,1,0,0,2.9739,1.0,0.2725,0.0,9.6225,0.0,0.403,7.3052,Late Night
EVT07346,Design Week,Exhibition,Arts,Brixton Academy,Brixton,London,UK,51.465534,-0.114134,5000,9,30,50,5,1.24,2023-08-14,Monday,0,8,Summer,16,15,20,4.1,0,0,0,3351,0.6702,0.061,0.311,Light Rain,1.22,0.94,20.3,2,0.356,1.0,0.88,1.0,1.0,0,0,1000,33.19,Medium,172,77,39,0,,0,1,0,0.6702,0.0,0.0,0.0,2.1329,0.26,0.644,8.1173,Evening
EVT02906,An Evening with Ed Sheeran,Concert,Music,Tafawa Balewa Square,Lagos Island,Lagos,Nigeria,6.45436,3.394398,50000,8,6,2000,5,1.033,2024-07-28,Sunday,6,7,Rainy,22,45,0,2.3,1,0,0,30206,0.6041,0.071,0.43,Partly Cloudy,1.02,1.0,,0,0.227,1.0,1.0,0.85,1.0,0,0,17996,90.58,Very High,3123,359,20,1,1.0,1,0,1,1.2082,1.02,0.0375,0.0,3.951,0.0,0.773,10.3158,Late Night
EVT09923,Private Wedding Reception,Wedding,Private,Tottenham Hotspur Stadium,Tottenham,London,UK,51.604372,-0.066141,62850,8,30,3000,5,1.017,2023-02-07,Tuesday,1,2,Winter,15,0,21,6.4,0,0,0,47406,0.7543,0.356,0.601,Overcast,1.04,0.98,42.7,2,0.786,1.0,0.75,1.0,1.0,0,0,30051,95.55,Very High,5637,190,22,1,1.0,0,1,0,1.5086,0.0,0.0,0.0,3.544,0.26,0.214,10.7665,Evening
